star_01,star_02,star_03,area,moment
71681,71683,74395,9.213340593989054e-07,1.498068773122295e-09
63613,71681,71683,1.5999261295006278e-06,5.5367260757920165e-09
71681,71683,71908,2.129476776979756e-06,6.203354323546296e-10
71681,71683,74376,2.2803969324143775e-06,6.434573189514812e-09
62322,71681,71683,2.644938207056514e-06,8.765801983713181e-09
68702,71681,71683,2.984759377621594e-06,9.860338007756947e-10
71681,71683,75264,2.9968496697269494e-06,1.5162528949277652e-08
71681,71683,76297,3.6035063902543047e-06,2.7646751687242424e-08
71681,71683,73807,3.704345310230854e-06,1.2698835056709806e-08
17499,17702,17847,4.089006555769314e-06,5.067722669987697e-11
71681,71683,78384,4.7054967316614965e-06,5.1768507329535664e-08
71681,71683,75141,4.8773373391123385e-06,3.660708539459432e-08
71681,71683,71860,6.093911172679005e-06,1.8579254036449315e-08
71681,71683,74946,6.131754864891763e-06,8.136961949107795e-09
71681,71683,73273,6.2209572195671616e-06,3.356596011162087e-08
71681,71683,77634,6.243187736317601e-06,9.027451425922328e-08
71681,71683,73334,6.631677962921322e-06,3.9998115445617865e-08
71681,71683,75177,6.896088242852178e-06,7.44879543546802e-08
71681,77952,71683,7.25203766959996e-06,1.0263407676441827e-08
62434,71681,71683,8.206164000941522e-06,2.6406992570356435e-08
66657,71681,71683,8.790770019432242e-06,1.7656170254438805e-08
71681,72370,71683,8.912678455080123e-06,4.9641127607121173e-08
71681,79664,71683,9.052460243872247e-06,1.9937800249804474e-08
69996,71681,71683,9.202334111648034e-06,3.517861173136918e-08
71352,71681,71683,9.383146484876796e-06,5.498000410591395e-08
20885,20894,20889,1.0514592114538245e-05,1.8963095111959937e-09
68002,71681,71683,1.0977022735900524e-05,4.139376881096145e-08
68282,71681,71683,1.2053931864215349e-05,5.948754591881351e-08
17573,17702,17847,1.2413351929120021e-05,1.0906624342890764e-10
71681,81065,71683,1.26009442912206e-05,8.48410616212623e-08
68245,71681,71683,1.3604592060451227e-05,8.899983159070323e-08
20455,20885,20894,1.362742530419255e-05,1.0381485180386344e-09
67472,71681,71683,1.4304656896824861e-05,9.450804767497157e-08
67464,71681,71683,1.4766344871651299e-05,1.0503362183035672e-07
68933,71681,71683,1.5834534297173922e-05,1.6514964236268862e-07
61932,71681,71683,1.5990095503807775e-05,1.1191630075854951e-07
65936,71681,71683,1.8002477274159503e-05,1.7180055369340447e-07
65109,71681,71683,2.0687044979897486e-05,2.536776295361939e-07
17499,17573,17702,2.3311484099997384e-05,1.3374594287556455e-10
85927,86670,87073,2.559647682598732e-05,5.525159578102259e-09
20885,20894,21421,2.6253635635143808e-05,1.5244258609969361e-09
22449,22549,22797,2.8910669690220927e-05,8.36052386664662e-09
76297,82514,82545,2.9107219563062065e-05,1.1195672832398851e-07
