Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V)
677,2.09653333,29.09082805,2.07
746,2.29204036,59.15021814,2.28
765,2.35224949,-45.74698836,3.88
1067,3.30895828,15.18361593,2.83
1562,4.85701265,-8.82382948,3.56
2021,6.41334183,-77.25503511,2.82
2072,6.55048418,-43.67990933,3.93
2081,6.57028075,-42.30512197,2.4
2920,9.24277921,53.89693161,3.69
3092,9.83165567,30.86122579,3.27
3179,10.12661349,56.53740928,2.24
3419,10.89678452,-17.9866841,2.04
3821,12.27125262,57.8165477,3.46
4427,14.17708808,60.71674966,2.15
4436,14.18790699,38.49925513,3.86
5165,16.52127713,-46.71849042,3.32
5348,17.0960837,-55.24583235,3.94
5364,17.14693197,-10.181928,3.46
5447,17.43248991,35.62083048,2.07
6537,21.00604671,-8.18275372,3.6
6686,21.45251267,60.23540347,2.66
6867,22.0914236,-43.31772906,3.41
7083,22.81242306,-49.07307701,3.93
7097,22.87080776,15.34583101,3.62
7588,24.42813204,-57.23666007,0.45
7607,24.49792651,48.62848641,3.59
8102,26.02136441,-15.93955597,3.49
8645,27.86504416,-10.33494526,3.74
8796,28.27041595,29.57939727,3.42
8832,28.38235506,19.29409264,3.88
8886,28.59868107,63.67014686,3.35
8903,28.65978771,20.80829949,2.64
9007,28.98680207,-51.60958673,3.69
9236,29.69113269,-61.56992444,2.86
9347,30.0009367,-21.07777193,3.99
9487,30.51166929,2.76376048,3.82
9598,30.85912643,72.42123962,3.95
9640,30.97466283,42.32984832,2.1
9884,31.79285757,23.46277743,2.01
10064,32.38550383,34.98739204,3.0
10602,34.12708452,-51.51211145,3.56
11767,37.94614689,89.26413805,1.97
12706,40.82551897,3.23617162,3.47
13209,42.49578911,27.26079044,3.61
13268,42.67413655,55.89552955,3.77
13531,43.564427,52.76248991,3.93
13701,44.10668245,-8.89760976,3.89
13847,44.5654818,-40.30473491,2.88
14135,45.56991279,4.08992539,2.54
14328,46.19912598,53.50645031,2.91
14354,46.29373754,38.84053298,3.32
14576,47.04220716,40.9556512,2.09
14668,47.37345463,44.85788896,3.79
14879,48.01783332,-28.98910623,3.8
15474,49.87904033,-21.7579421,3.7
15863,51.08061889,49.86124281,1.79
15900,51.20349011,9.02906504,3.61
16083,51.79217049,9.7327724,3.73
16537,53.23509009,-9.45830584,3.72
17358,55.7311754,47.7876533,3.01
17378,55.81231706,-9.76519868,3.52
17440,56.04814541,-64.80709398,3.84
17448,56.07969347,32.28827325,3.84
17499,56.21884811,24.1134484,3.72
17529,56.29851422,42.57854437,3.77
17573,56.45663804,24.36785796,3.87
17678,56.80929799,-74.23924251,3.26
17702,56.87110065,24.10524193,2.85
17847,57.29054669,24.05352412,3.62
18246,58.53299363,31.88365776,2.84
18532,59.46342138,40.01027315,2.9
18543,59.50720862,-13.50824471,2.97
18614,59.74124892,35.79102701,3.98
18724,60.17008591,12.49037571,3.41
18907,60.78907003,5.98930909,3.91
19343,62.16530527,47.71259359,3.96
19747,63.5003388,-42.29387294,3.85
19780,63.60596306,-62.47397888,3.33
20042,64.47341068,-33.79833145,3.55
20205,64.94805793,15.62770031,3.65
20455,65.73344722,17.5425843,3.77
20535,66.00902233,-34.01698632,3.97
20885,67.14346805,15.96221721,3.84
20889,67.15388879,19.18052092,3.53
20894,67.16531219,15.8709468,3.4
21281,68.49882684,-55.04500559,3.3
21393,68.88779874,-30.56231049,3.81
21421,68.98000195,16.50976164,0.87
21444,69.07975243,-3.352448,3.93
21594,69.54529558,-14.303587,3.86
22449,72.45890935,6.96124744,3.19
22549,72.80152507,5.60510146,3.68
22797,73.5628985,2.44067149,3.71
23015,74.24840098,33.16613537,2.69
23416,75.49222507,43.82331397,3.03
23453,75.61950025,41.07588953,3.69
23685,76.36521705,-22.37085673,3.19
23767,76.62862102,41.23464074,3.18
23875,76.96264146,-5.08626282,2.78
24305,78.2328046,-16.20542901,3.29
24436,78.63446353,-8.20163919,0.18
24608,79.17206517,45.99902927,0.08
24674,79.40166225,-6.84438616,3.59
25281,81.11923774,-2.39713844,3.35
25336,81.28278416,6.34973451,1.64
25428,81.57290804,28.60787346,1.65
25606,82.06135971,-20.75923214,2.81
25859,82.8030645,-35.47043592,3.86
25930,83.00166562,-0.2990934,2.25
25985,83.18255798,-17.82229227,2.58
26069,83.40631813,-62.48985585,3.76
26207,83.78449043,9.93416294,3.39
26241,83.85825475,-5.90989984,2.75
26311,84.05338572,-1.20191725,1.69
26451,84.41118447,21.14259299,2.97
26549,84.68652211,-2.60006791,3.77
26634,84.91224975,-34.07404941,2.65
26727,85.18968672,-1.94257841,1.74
27072,86.11656241,-22.44748663,3.59
27288,86.73895728,-14.82194717,3.55
27321,86.82118054,-51.06671329,3.85
27366,86.93911641,-9.66960186,2.07
27628,87.7398034,-35.76929225,3.12
27654,87.82980343,-20.87751376,3.76
27673,87.87246934,39.14847936,3.97
27989,88.79287161,7.40703634,0.45
28103,89.10132627,-14.16803805,3.71
28328,89.78662719,-42.81510761,3.96
28358,89.88145972,54.28498197,3.72
28360,89.88237261,44.94743492,1.9
28380,89.93015897,37.21276409,2.65
29651,93.71390194,-6.27472737,3.99
29655,93.71956952,22.50682376,3.31
30122,95.07827982,-30.06337656,3.02
30277,95.52852147,-33.43627251,3.85
30324,95.6749475,-17.95591658,1.98
30343,95.73996302,22.51385027,2.87
30438,95.98787763,-52.69571799,-0.62
30867,97.20447548,-7.03305042,3.76
31592,99.17082883,-19.25570928,3.95
31681,99.42792641,16.39941482,1.93
31685,99.44029869,-43.19592394,3.17
32246,100.98304088,25.13115531,3.06
32349,101.28854105,-16.71314306,-1.44
32362,101.3226398,12.89605513,3.35
32607,102.04807134,-61.94197988,3.24
32759,102.46027285,-32.50848752,3.5
32768,102.48390349,-50.61439973,2.94
33018,103.1972503,33.96136985,3.6
33152,103.53314518,-24.18422296,3.89
33579,104.65644451,-28.97208931,1.5
33856,105.42979876,-27.93484165,3.49
33977,105.75613986,-23.83330131,3.02
34444,107.09785853,-26.39320776,1.83
34481,107.18676883,-70.49919435,3.78
35228,109.20762844,-67.95717248,3.97
35264,109.28568399,-37.09748689,2.71
35350,109.52336162,16.54047526,3.58
35550,110.0307889,21.98233941,3.5
35904,111.02377104,-29.30311979,2.45
36046,111.43198371,27.79828561,3.78
36188,111.78780121,8.28940893,2.89
36377,112.3078263,-43.30189129,3.25
36850,113.65001898,31.88863645,1.58
37229,114.70783872,-26.8038924,3.8
37279,114.82724194,5.22750767,0.4
37447,115.31198612,-9.55108315,3.94
37504,115.45498347,-72.60613528,3.93
37677,115.95196716,-28.9548352,3.94
37740,116.11195237,24.39812929,3.57
37819,116.31376631,-37.96859848,3.62
37826,116.33068263,28.02631031,1.16
38170,117.32357809,-24.85978401,3.34
38414,118.05435622,-40.57579889,3.71
38827,119.19475729,-52.98240062,3.46
39429,120.89612561,-40.00318846,2.21
39757,121.88625899,-24.30443677,2.83
39953,122.38314727,-47.33661177,1.75
40526,124.12895101,9.18566295,3.53
41037,125.62860299,-59.50953829,1.86
41307,126.41529546,-3.90636482,3.91
41312,126.43435936,-66.13652042,3.77
41704,127.56679232,60.7184311,3.35
42515,130.02556894,-35.30830091,3.97
42536,130.07337168,-52.92197259,3.6
42570,130.15656369,-46.64875492,3.77
